Title,Company,Description,Salary,Deadline,Locations,Mode,Type,Gender,Experience,Field_Of_Interests,Source
Data Entry Operator,Carpe Diem,"We are looking for a Data Entry Operator who have experience in IT/ Admin related work Requirements: Job Type: Full-time Salary: Rs30,000.00 - Rs35,000.00 per month Application Question(s): Experience: ","Rs 30,000 - Rs 35,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Carpe-Diem/jobs/Data-Entry-Clerk-3fb993cf1e1af14a?fccid=26394e24c6f03d61&vjs=3
IT Manager,Al-Mustafa Medical Center,Urgently Looking for IT Manager. Responsibilities: Qualifications and Experience: Location: Gulshan-e-Iqbal Block 10 Job Type: Full-time Ability to commute/relocate: Language: ,Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Al--Mustafa-Medical-Center/jobs/IT-Manager-3b30c3f50dde112c?fccid=7b51c96e574ccfd6&vjs=3
IT Internship ( Male only),Sama engineering,"Candidates who are living near Nazimabad get preference. Job Requirements: IT interns typically have a wide range of responsibilities, which can include: Requirements We are offering a place of growth and learning. Job Types: Internship, Contract, Full-time, FresherContract length: 12 months Salary: Rs10,000.00 - Rs15,000.00 per month Ability to commute/relocate: ","Rs 10,000 - Rs 15,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Sama-Engineering/jobs/Information-Technology-Intern-e14f550cd5601f76?fccid=2cceb69c8a725ff0&vjs=3
BI Analyst,HubDigit Pvt Ltd.,"As a Business Intelligence Analyst, you will play a pivotal role in translating data into actionable insights that drive strategic decisions. Leveraging your analytical skills and business acumen, you'll collaborate with cross-functional teams to deliver valuable data-driven solutions. Responsibilities: - Gather and analyze business requirements to develop data-driven insights. - Design and create interactive dashboards and reports for various stakeholders. - Identify trends, patterns, and opportunities within complex datasets. - Collaborate with data engineers to ensure seamless data integration and quality. - Present findings and recommendations to both technical and non-technical audiences. - Monitor key performance indicators and provide proactive insights. - Participate in the design and development of data models and ETL processes. - Stay updated on industry best practices and emerging trends in BI and analytics. Qualifications: - Bachelor's degree in Business, Computer Science, Analytics, or a related field. - Proven experience as a Business Intelligence Analyst or similar role. - Strong proficiency in data visualization tools such as Tableau, Power BI, or similar. - Proficiency in SQL for data manipulation and extraction. - Analytical mindset with the ability to translate data into actionable insights. - Excellent communication skills to convey complex findings clearly. - Familiarity with data warehousing concepts and ETL processes. - Detail-oriented and able to work both independently and collaboratively. - Knowledge of programming languages (Python, R) is a plus. - Prior experience with cloud platforms and big data technologies is advantageous. Job Type: Full-time Salary: From Rs100,000.00 per month ","Rs 100,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/HubDigit-Private-Limited/jobs/Business-Intelligence-Analyst-ea6d0c1ea11d617f?fccid=6520cd207fa68dcf&vjs=3
IT Support Executive,Lime Software Logics (SMC-PVT) Limited,"Responsible for the maintenance, configuration, and reliable operation of the organization's computer systems and network infrastructure. This role involves providing technical support to end-users, troubleshooting hardware and software issues, and ensuring the smooth functioning of the IT environment. The IT/Network Officer also assists in the implementation of IT projects and security measures to safeguard the organization's data and systems. Tasks: Qualifications and Requirements: Job Type: Full-time Salary: Rs45,000.00 - Rs55,000.00 per month Ability to commute/relocate: Experience: Shift availability: ","Rs 45,000 - Rs 55,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Lime-Software-Logics-(SMC--PVT)-Limited/jobs/IT-Executive-428b2a30522efe31?fccid=c9c98cf93fe23740&vjs=3
IT intern,Vision Tech,"IT Intern Duties and Responsibilities Requirements Job Type: InternshipContract length: 2 months Salary: Rs10,000.00 - Rs15,000.00 per month Ability to commute/relocate: ","Rs 10,000 - Rs 15,000 a month",,Karachi,,Internship,,,,https://pk.indeed.com/company/Vision-Tech/jobs/Information-Technology-Intern-3319def542bb5d5c?fccid=86c6cbb1fbd3b02e&vjs=3
Secretary/Personal Assistant,M.S.Ajmal Business Consultant,"Personal Assistant with excellent computing background to Director who is a multiple business owner in the UK and UAE. The sectors of the business range from IT Software development to construction, property development and investments. The successful candidate for this position will have experience handling high-level tasks, an ability to maintain confidentiality, an affinity for multi-tasking, and a professional work ethic. Additionally, the Personal Assistant will have to be well organised and have very strong communication skills in English Language (Spoken and Written). Key skills and experience required: Key responsibilities; Salary to be negotiated subject to applicants experience. Please get in touch with CV, cover letter and availability for interview. Job Type: Full-time Salary: Minimum 60,000.00 PKR per month with Bonus scheme Schedule: Supplemental pay types: Work Location: This is a work from home position (Remote) Job Type: Full-time Salary: From Rs60,000.00 per month ","Rs 60,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/M.S.Ajmal-Business-Consultant/jobs/Secretarial-Assistant-00bef3f2f11b0fb1?fccid=c4a8606721b30c3d&vjs=3
Data Entry Executive,Aykays,"Aykays is looking for a fresh candidates preferably with a computer science background to work on our in-house projects that require good English writing skills as well as speed and enthusiasm. We need someone who is:CreativeRegularPunctualProficient in EnglishSelf-motivated with strong work ethics. Fresh grads are also encouraged to apply for internships. The internships will be paid with a stipend of PKR 20000 + up to 15,000 and more commission per month. Timings: 3pm to 12am OR 10pm to 7am Job Types: Full-time, Part-time, Internship, Contract, CommissionContract length: 3 monthsPart-time hours: 36 per week Salary: Rs20,000.00 per month Ability to commute/relocate: ","Rs 20,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Aykays/jobs/Data-Entry-Clerk-62c1f8ef100c1cf7?fccid=3b348a5cdb2faa85&vjs=3
Production Support Officer,GSK," Job Purpose  To work on Tablet Blister/Tablet Packaging area ensuring the required output and complying with applicable GMP, EHS and Regulatory standards.   Education, Experience & Skills:  Diploma/ BTech  Minimum 2-3 years in relevant role  QMS & EHS training   Key responsibilities:  Ensure Safety of the area with Zero Waste Promotions and ZAP & ZIP reporting.  Keep up-to-date production, downtime, changeover, preventive maintenance, and other records on daily basis for Tablet Blister/Tablet packaging.  Hands on experience in Tablet, blister and cartoning operation.  Able to troubleshoot and rectify the breakdown on Tablet Blister and Cartoning Machine.  Expert in product changeover of different format at blister and cartoning machine.  Suggest and implement measures to improve the machine efficiency OEE.  Ensure all production floor’s KPI are being maintained and met. e.g., Adherence to Daily OEE target and Adherence to conformance of daily plan.  Ensure the GMP (proper labelling, IPC etc.) and EHS (Zero access, LOTO etc.) compliance during operation.  Ensure cost efficient way, right first-time operation, minimizing changeovers and avoiding wastages.  Maintain complete record of the respective machine e.g., daily working Logbooks, Maintenance Record, Cleaning and Changeover Record etc.  Ensure Data integrity compliance and improve the DI control (ALCOA principle) at Packaging.  Ensure all Blister/Tablet packaging operation related End to End production SAP transactions are punched timely.  Why Us?  GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organization where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to positively impact the health of 2.5 billion people by the end of 2030.   Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a workplace where everyone can feel a sense of belonging and thrive as set out in our Equal and Inclusive Treatment of Employees policy. We’re committed to being more proactive at all levels so that our workforce reflects the communities we work and hire in, and our GSK leadership reflects our GSK workforce.   Contact information:  You may apply for this position online by selecting the Apply now button.   Important notice to Employment businesses/ Agencies  GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=c8a89b676cc6b5d8&fccid=4e42ec53f4b93e02&vjs=3
Data Analyst (CRM),Domino's Pizza Pakistan,"Location: You will work in our Karachi office for an organization based in Saudi Arabia (KSA). Job Title – Data Analytics Specialist (CRM) Objective – The objective of the data analytics specialist role is to develop and implement customer segmentations, campaign analysis framework, run customer behavioral analysis and derive insights that would help to drive business decisions. The role involves leveraging data analysis and visualization tools to extract actionable insights, optimize processes and drive informed decision making within the organization. Responsibilities: Requirements: Job Type: Full-time Education: Experience: Application Deadline: 30/09/2023 ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Domino's/jobs/Data-Analyst-3dc959ff28936025?fccid=788a7fd79eec1d60&vjs=3
Project Trainee,GSK," Job Purpose  Implement EHS programs based on EHS management system in order to achieve the GSK Strategic Deployment Objectives in consideration of EHS policy and vision.   Education, Experience & Skills:  B.E (Engineering)/ Masters (Environmental Sciences)  EHS Certification  At least 1 year experience with managing EHS and different domains related to Health and Safety in an organization  Must possess knowledge of industry standards and codes related to occupational safety and design  Good communication and presentation skills   Key responsibilities:  Ensure compliance to local industry and government regulations, GSK standards, procedures, guidelines at the site and ensure continuous EHS improvement in all work processes.  Ensure compliance of the releases to environment from the facility’s operations; in accordance with applicable regulatory limits and other relevant environmental discharge criteria. Compilation and data analysis.  Implement controls related to Process safety, permit to work and contractor management at site.  Carry out EHS related trainings for down the line staff based on their training needs.  Conduct and assist departments in carrying out risk assessments and L-1 audits.  Assist the EHS Manager and Site for implementation of safety initiatives and monitor progress against them at the site  Participate in different meetings and forums and provide useful inputs regarding existing EHS issues, and requirements, to achieve the corporate EHS goals.  Conduct EHS internal audits Prepare and revise SOPs, method statements, risk assessments etc.  Why Us?  GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organization where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to positively impact the health of 2.5 billion people by the end of 2030.   Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a workplace where everyone can feel a sense of belonging and thrive as set out in our Equal and Inclusive Treatment of Employees policy. We’re committed to being more proactive at all levels so that our workforce reflects the communities we work and hire in, and our GSK leadership reflects our GSK workforce.   Contact information:  You may apply for this position online by selecting the Apply now button.   Important notice to Employment businesses/ Agencies  GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=e82f89bec65baaef&fccid=4e42ec53f4b93e02&vjs=3
Research Associate,Interactive Research & Development (IRD),"Job Grade Reporting To Program Employment Type Location  The incumbent will work closely with the line manager to provide assistance on all program-related activities, such as data collection, analysis, and documentation.  Required Qualification Required Experience Required Skills ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=66073547e6dfd4be&fccid=de2992abb1aca9c0&vjs=3
Urgent Hiring: Computer Teacher - Subject Specialist for Intermediate,NCR-CET College,"NCR-CET College, a renowned educational institution committed to providing quality education, is seeking a highly qualified and experienced Computer Subject Teacher to join our esteemed faculty team. Qualifications: Responsibilities: Join our esteemed institution and contribute to the development of students' computer literacy and technical skills. Together, let us empower the next generation of computer scientists, programmers, and designers. Note: Only shortlisted candidates will be contacted. Job Type: Full-time Pay: Rs50,000.00 - Rs55,000.00 per month Ability to commute/relocate: Education: Experience: Application Deadline: 31/07/2023 ","Rs 50,000 - Rs 55,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/NCR--CET-College/jobs/Computer-Teacher-21910f5ecdcdd00d?fccid=bb1ce2cba5e43671&vjs=3
Data Analytics Specialist,CO/LAB PK,"Company Overview: We are seeking a highly skilled Data Analytics Specialist to join our team. As a leader in our industry, we value data-driven decision-making and seek an expert in Google Analytics (GA), Google Tag Manager (GTM), Looker Studio, and other relevant analytics tools to drive insightful business strategies. Role and Responsibilities: The Data Analytics Specialist will play a pivotal role in extracting actionable insights from data, enabling our organization to make informed decisions and optimize performance across various departments. You will collaborate with cross-functional teams to gather requirements, design data-tracking strategies, and deliver clear and comprehensive reports. Your responsibilities will include: Google Analytics (GA): Google Tag Manager (GTM): Looker Studio: Data Analysis and Strategy: Qualifications: Experience: SQL: 2 years (Preferred)GTM: 2 years (Preferred)Google Analytics: 2 years (Preferred)Data Analysis: 2 years (Preferred) Job Type: Full-time Salary: Up to Rs80,000.00 per month ","Rs 80,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/rc/clk?cmp=CO%2FLAB-LosAngeles&ti=Data+Specialist&jk=49d97b08ffd4c30b&fccid=c70e16905bd23c13&vjs=3
IT Specialist,DGTX Pvt. Ltd.,"About Us: DgTx Private Limited is a DgTx - Empowering Digital Taxation. We are currently seeking a skilled and experienced IT Specialist to join our team and contribute to the efficiency and security of our IT infrastructure. Job Summary: As an IT Specialist, you will play a vital role in maintaining and optimizing our network, VOIP systems, and VPN solutions. Your expertise will ensure that our technology operates seamlessly, allowing our organization to meet its business objectives. Responsibilities: Qualifications: Location Karachi Day Shift Full time position Share your CV at your earliest. Job Type: Full-time Salary: Rs60,000.00 - Rs70,000.00 per month Ability to commute/relocate: Application Question(s): Experience: ","Rs 60,000 - Rs 70,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/VentureForce-Global/jobs/IT-Technician-b41128dca9167d77?fccid=9d6150f711acbecb&vjs=3
OQ Officer,GSK," Job Purpose  To ensure in-process monitoring of production and production related activities and to ensure Quality Assurance processes are implemented and used in Production Operations and Quality Operations to support producing products with respect to GSK and Regulatory specifications and bring improvement to make the processes more robust.   Education, Experience & Skills:  B-Pharm/ Pharm-D or M.Sc.  At least 2 years of relevant experience  Proficient in MS Office  Good communication and presentation skills   Key responsibilities  In-Process Control:  Ensure in-process checking during operations (oversight) are according to SOPs, understanding of core Operational Quality processes and taking action to mitigate risk.  Ensure that manufacturing, filling and packing activities are performed according to BMR, BPR and relevant SOPs.  Data Integrity & Compliance: Support in Data integrity implementation and improve the DI controls at site.  Product Release: Support in compilation and review batch documents and release products to ensure that manufacturing, filling, and packaging activities are performed according to BMRs, BPRs and relevant SOPs and ensure that batch dossiers are retained as per local regulatory and GSK record retention policy, if required.  Site Archive Room, Batch Document Room & Retained Sample Room: Ensure that compliance related documents are retained as per GSK record retention policy and ensure that batch record & retained samples are stored, archived and traceability of the documents and retained samples are managed.  Deviation Handling: Report deviation and support in rectification of deviations from cGMP or the Quality Management System, providing advice to line management to ensure that cGMP compliance requirements are built into the site's core practices and ensure that product quality issues are correctly investigated, and that appropriate corrective and preventive actions are implemented.  Investigation Handling: Support in investigations of products failing to meet standards, support and coordinate with stake holders for the CAPA preparation.  CAPA Plan Handling: Ensure all QMS requirements for Operational Quality including Self- Inspections, SOP status, Trainings, CAPA closure, Gap analysis actions and others are timely completed and communicated to relevant stake holders.  Validations:  Execution of Validation Protocols and activities on floor.  Support in site validation activities by providing OQ input.  Environment, Health & Safety:  To ensure that EHS practices are being maintained.  Implement and follow EHS standards  Work With Zero Accident, Defects & Waste by Committing To Safety Fundamentals:  To ensure that EHS practices are being maintained.  Reporting of ZIP, ZAP & ZWP and their timely closures to meet site target.  Actively participate in safety and health related events and improve the working conditions in order to maintain a safer and healthier environment.  Why Us?  GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organization where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to positively impact the health of 2.5 billion people by the end of 2030.   Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a workplace where everyone can feel a sense of belonging and thrive as set out in our Equal and Inclusive Treatment of Employees policy. We’re committed to being more proactive at all levels so that our workforce reflects the communities we work and hire in, and our GSK leadership reflects our GSK workforce.   Contact information:  You may apply for this position online by selecting the Apply now button.   Important notice to Employment businesses/ Agencies  GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=6c56eaaee63298a6&fccid=4e42ec53f4b93e02&vjs=3
Data Analyst Manager,Mac Care,"Data Anaylst ManagerMIS & Business Intelligence Developer Position Summary: This person will be the expert in organizing data and transforming it into compelling storytelling and must have worked with international clients, especially in the US Healthcare industry. This person must be a critical thinker and self-starter that can push important initiatives that help the company grow and expand. Should be able to work during US operating hours and can bear the workload pressure while working directly with the top tier in the US. Must be able to receive requirements from the business team and can translate them into a plan and with companywide reports/dashboards accordingly. KEY RESPONSIBILITIES OF THIS JOB: · Develop and implement strategies and policies that support the organization's goals and objectives for information systems and business intelligence. · Develop and Manage CEO’s Dashboard · Management, development and maintenance of dashboards, databases, data warehouses, and other information systems. · Develop and maintain data models and schemes and ensure the accuracy and integrity. · Develop end-to-end RCM reports and other financial analysis for the US healthcare industry. · Database management (data analytics and data modeling) · Analytics related to working with structured datasets. · Schedule and produce periodic reports regarding companywide performance, keeping the 360-degree coverage factor in mind. · Analyzing existing operations, protocols, and reporting processes of all the departments and making plans for improvement · Analyze business information to identify process improvements for increasing business efficiency and effectiveness. · Developing and executing queries, creating reports, dashboards, and data visualizations to both analyze the results of the analysis and to make it accessible to decision-makers. · Designing, developing, and maintaining business intelligence solutions · Manage and educate the team members to help them with usage and navigation using the reporting tools and using the right reports/metrics. · Designing and development of Power BI Report Server · Coding for Microsoft Excel, Microsoft Power BI, or any other tool. Required Skills/Abilities: · Bachelor's degree in computer science, information systems, or MSc in Statistics, Applied Mathematics, or a related field. · 3+ years of experience in information systems management, data analysis · Strong analytical skills, with the ability to analyze complex data sets and identify trends and patterns. · Strong project management skills · Experience with business intelligence tools, such as Power BI or Tableau. · Familiarity with data security policies and procedures. · Grip on Power BI, Microsoft Excel, Dashboard, and Data visualization · Experience in working with US clients is a plus. · Experience in the US Healthcare industry is a plus. · High-level data visualization skills · Knowledge of HIPAA compliance a plus · Excellent Interpersonal skills · Must have good written and verbal communication skills. Benefit: 5 days job, Market Competitive Salary, Provident fund, Medical Insurance (self) and EOBI Job Type: Full-time Timing: 8am – 5pm CST Job Type: Full-time Salary: Rs1,150.00 per month Experience: Shift availability: ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Mac-Care/jobs/Data-Analyst-Manager-29a5fea4c477ffff?fccid=dfe40724cbf95fd6&vjs=3
IT / Network Engineer,Unity Foods Limited,"Unity Foods Limited is one of the leading FMCG company operating across Pakistan. We are recruiting IT / Network Engineer for our IT Department based in Karachi. Responsibilities Education: Experience: Skills: Job Type: Full-time Salary: Rs50,000.00 - Rs70,000.00 per month Education: Experience: ","Rs 50,000 - Rs 70,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Unity-Foods-Limited/jobs/Network-Engineer-26376bed293a631e?fccid=d5b71225413daef7&vjs=3
Associate Quality Control,Pfizer,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=4c4f75fac51c34d3&fccid=7ff126af0cd3d93b&vjs=3
Real Estate Research Executive,Land Insights,"About Us: We are a research organization dealing in Real Estate strategy & Execution in the UAE and Pakistan markets. Job Description: We are seeking a motivated and detail-oriented Real Estate Researcher to join our team. The ideal candidate will play a critical role in gathering, analyzing, and presenting data related to the Dubai real estate market to support in our strategic decision-making process. Responsibilities: · Conduct in-depth research and analysis of the Dubai & Pakistan real estate market, including market trends, property values, and investment opportunities · Collect and organize data from various sources, such as government reports, real estate databases, and market reports · Monitor and track property listings, sales, and rental transactions · Prepare detailed reports, market summaries, and presentations based on research findings · Collaborate with the sales and marketing teams to provide market insights and data-driven recommendations · Submit weekly progress report to the Director Requirements: · Preferably a Bachelor's degree in Business / Social Sciences or related in depth experience of the market · Minimum of 3 years of experience as a Real Estate industry or in a related research role · Strong interest and wanting to make a career in the real estate market · Excellent analytical and problem-solving skills using Excel · Strong communication and presentation skills · Attention to detail and a commitment to accuracy · Have a entrepreneurial mindset, as we need Doers Job Types: Part-time, Full-time Salary: Rs40,000.00 - Rs80,000.00 per month ","Rs 40,000 - Rs 80,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Eastern-Trading-Corporation/jobs/Estate-Executive-d37891e1571ce0fd?fccid=232ad9075c72184d&vjs=3
